grn_number,po_number,supplier_id,receipt_date,received_by,warehouse
GRN-2026-00001,PO-2026-00002,SUP-0044,2026-05-27,W. Mabaso,WH-B Wadeville
GRN-2026-00002,PO-2026-00003,SUP-0024,2026-01-27,O. Mthembu,WH-B Wadeville
GRN-2025-00003,PO-2025-00004,SUP-0033,2025-12-01,W. Mabaso,WH-A Sandton
GRN-2026-00004,PO-2026-00005,SUP-0002,2026-07-27,W. Mabaso,WH-A Sandton
GRN-2026-00005,PO-2026-00006,SUP-0039,2026-08-04,O. Mthembu,WH-B Wadeville
GRN-2026-00006,PO-2025-00007,SUP-0022,2026-01-01,E. du Plessis,WH-B Wadeville
GRN-2026-00007,PO-2026-00008,SUP-0030,2026-08-13,W. Mabaso,WH-A Sandton
GRN-2025-00008,PO-2025-00009,SUP-0043,2025-12-22,Z. Jacobs,WH-A Sandton
GRN-2026-00009,PO-2026-00010,SUP-0044,2026-05-18,W. Mabaso,WH-B Wadeville
GRN-2026-00010,PO-2026-00011,SUP-0005,2026-08-07,H. Ngobeni,WH-A Sandton
GRN-2026-00011,PO-2026-00012,SUP-0035,2026-04-07,H. Ngobeni,WH-A Sandton
GRN-2025-00012,PO-2025-00013,SUP-0036,2025-12-16,Z. Jacobs,WH-B Wadeville
GRN-2026-00013,PO-2026-00014,SUP-0020,2026-08-17,H. Ngobeni,WH-A Sandton
GRN-2025-00014,PO-2025-00015,SUP-0039,2025-10-23,Z. Jacobs,WH-B Wadeville
GRN-2026-00015,PO-2026-00016,SUP-0026,2026-05-18,E. du Plessis,WH-A Sandton
GRN-2025-00016,PO-2025-00017,SUP-0010,2025-12-02,E. du Plessis,WH-B Wadeville
GRN-2026-00017,PO-2026-00018,SUP-0041,2026-01-27,W. Mabaso,WH-B Wadeville
GRN-2025-00018,PO-2025-00019,SUP-0031,2025-11-10,Z. Jacobs,WH-A Sandton
GRN-2025-00019,PO-2025-00020,SUP-0038,2025-11-20,Z. Jacobs,WH-A Sandton
GRN-2026-00020,PO-2026-00021,SUP-0026,2026-01-23,H. Ngobeni,WH-B Wadeville
GRN-2026-00021,PO-2026-00022,SUP-0030,2026-08-03,E. du Plessis,WH-A Sandton
GRN-2025-00022,PO-2025-00023,SUP-0027,2025-11-13,W. Mabaso,WH-B Wadeville
GRN-2026-00023,PO-2026-00024,SUP-0013,2026-04-17,W. Mabaso,WH-A Sandton
GRN-2026-00024,PO-2026-00025,SUP-0045,2026-07-13,W. Mabaso,WH-B Wadeville
GRN-2026-00025,PO-2026-00026,SUP-0031,2026-06-01,E. du Plessis,WH-B Wadeville
GRN-2026-00026,PO-2026-00027,SUP-0002,2026-02-10,O. Mthembu,WH-B Wadeville
GRN-2025-00027,PO-2025-00028,SUP-0024,2025-12-26,W. Mabaso,WH-B Wadeville
GRN-2025-00028,PO-2025-00029,SUP-0030,2025-11-20,O. Mthembu,WH-B Wadeville
GRN-2026-00029,PO-2026-00030,SUP-0030,2026-02-02,Z. Jacobs,WH-A Sandton
GRN-2026-00030,PO-2026-00031,SUP-0024,2026-05-05,W. Mabaso,WH-A Sandton
GRN-2025-00031,PO-2025-00032,SUP-0006,2025-11-03,W. Mabaso,WH-A Sandton
GRN-2026-00032,PO-2026-00033,SUP-0020,2026-07-03,Z. Jacobs,WH-B Wadeville
GRN-2025-00033,PO-2025-00034,SUP-0037,2025-10-10,H. Ngobeni,WH-B Wadeville
GRN-2026-00034,PO-2026-00035,SUP-0010,2026-04-02,W. Mabaso,WH-A Sandton
GRN-2026-00035,PO-2026-00036,SUP-0028,2026-04-20,Z. Jacobs,WH-B Wadeville
GRN-2025-00036,PO-2025-00037,SUP-0031,2025-10-24,Z. Jacobs,WH-A Sandton
GRN-2026-00037,PO-2025-00038,SUP-0041,2026-01-05,O. Mthembu,WH-B Wadeville
GRN-2025-00038,PO-2025-00039,SUP-0040,2025-11-03,E. du Plessis,WH-A Sandton
GRN-2026-00039,PO-2026-00040,SUP-0018,2026-08-31,O. Mthembu,WH-B Wadeville
GRN-2026-00040,PO-2026-00041,SUP-0045,2026-08-13,Z. Jacobs,WH-B Wadeville
GRN-2025-00041,PO-2025-00043,SUP-0028,2025-12-15,H. Ngobeni,WH-A Sandton
GRN-2026-00042,PO-2026-00044,SUP-0041,2026-06-22,W. Mabaso,WH-B Wadeville
GRN-2026-00043,PO-2026-00045,SUP-0035,2026-09-14,E. du Plessis,WH-B Wadeville
GRN-2026-00044,PO-2026-00046,SUP-0040,2026-05-25,Z. Jacobs,WH-B Wadeville
GRN-2025-00045,PO-2025-00047,SUP-0026,2025-11-04,Z. Jacobs,WH-A Sandton
GRN-2026-00046,PO-2026-00048,SUP-0030,2026-07-24,W. Mabaso,WH-B Wadeville
GRN-2026-00047,PO-2026-00049,SUP-0032,2026-07-17,W. Mabaso,WH-A Sandton
GRN-2026-00048,PO-2025-00051,SUP-0005,2026-01-01,O. Mthembu,WH-B Wadeville
GRN-2026-00049,PO-2026-00052,SUP-0036,2026-08-03,H. Ngobeni,WH-A Sandton
GRN-2026-00050,PO-2026-00053,SUP-0025,2026-07-30,W. Mabaso,WH-A Sandton
GRN-2025-00051,PO-2025-00054,SUP-0002,2025-12-04,O. Mthembu,WH-B Wadeville
GRN-2026-00052,PO-2026-00055,SUP-0024,2026-01-20,O. Mthembu,WH-A Sandton
GRN-2025-00053,PO-2025-00056,SUP-0010,2025-10-09,H. Ngobeni,WH-A Sandton
GRN-2026-00054,PO-2026-00057,SUP-0045,2026-06-09,E. du Plessis,WH-A Sandton
GRN-2026-00055,PO-2026-00058,SUP-0044,2026-07-13,W. Mabaso,WH-B Wadeville
GRN-2026-00056,PO-2026-00059,SUP-0026,2026-02-11,O. Mthembu,WH-B Wadeville
GRN-2026-00057,PO-2026-00060,SUP-0015,2026-08-04,H. Ngobeni,WH-B Wadeville
GRN-2025-00058,PO-2025-00061,SUP-0008,2025-11-17,Z. Jacobs,WH-B Wadeville
GRN-2026-00059,PO-2026-00062,SUP-0018,2026-04-27,W. Mabaso,WH-A Sandton
GRN-2026-00060,PO-2026-00064,SUP-0005,2026-04-14,H. Ngobeni,WH-B Wadeville
GRN-2025-00061,PO-2025-00065,SUP-0041,2025-11-13,O. Mthembu,WH-A Sandton
GRN-2025-00062,PO-2025-00066,SUP-0009,2025-10-20,W. Mabaso,WH-B Wadeville
GRN-2026-00063,PO-2026-00067,SUP-0034,2026-09-14,Z. Jacobs,WH-B Wadeville
GRN-2026-00064,PO-2026-00068,SUP-0045,2026-07-06,Z. Jacobs,WH-A Sandton
GRN-2026-00065,PO-2026-00070,SUP-0017,2026-03-05,E. du Plessis,WH-B Wadeville
GRN-2026-00066,PO-2026-00071,SUP-0044,2026-03-20,E. du Plessis,WH-B Wadeville
GRN-2026-00067,PO-2026-00072,SUP-0001,2026-04-24,Z. Jacobs,WH-A Sandton
GRN-2026-00068,PO-2026-00074,SUP-0036,2026-03-09,H. Ngobeni,WH-B Wadeville
GRN-2026-00069,PO-2026-00075,SUP-0016,2026-03-03,W. Mabaso,WH-A Sandton
GRN-2025-00070,PO-2025-00076,SUP-0024,2025-12-22,H. Ngobeni,WH-A Sandton
GRN-2026-00071,PO-2026-00077,SUP-0005,2026-09-02,O. Mthembu,WH-B Wadeville
GRN-2026-00072,PO-2026-00078,SUP-0011,2026-06-29,H. Ngobeni,WH-B Wadeville
GRN-2026-00073,PO-2026-00079,SUP-0035,2026-04-20,Z. Jacobs,WH-B Wadeville
GRN-2026-00074,PO-2026-00080,SUP-0017,2026-08-18,H. Ngobeni,WH-B Wadeville
GRN-2026-00075,PO-2026-00081,SUP-0004,2026-01-23,H. Ngobeni,WH-B Wadeville
GRN-2026-00076,PO-2026-00082,SUP-0009,2026-06-25,E. du Plessis,WH-A Sandton
GRN-2026-00077,PO-2026-00083,SUP-0026,2026-01-15,E. du Plessis,WH-B Wadeville
GRN-2026-00078,PO-2026-00084,SUP-0027,2026-07-06,E. du Plessis,WH-A Sandton
GRN-2026-00079,PO-2026-00085,SUP-0009,2026-01-28,O. Mthembu,WH-A Sandton
GRN-2026-00080,PO-2026-00086,SUP-0041,2026-06-25,E. du Plessis,WH-A Sandton
GRN-2026-00081,PO-2026-00087,SUP-0040,2026-05-13,O. Mthembu,WH-A Sandton
GRN-2026-00082,PO-2026-00088,SUP-0041,2026-04-14,O. Mthembu,WH-A Sandton
GRN-2026-00083,PO-2026-00089,SUP-0017,2026-02-12,E. du Plessis,WH-B Wadeville
GRN-2026-00084,PO-2026-00090,SUP-0034,2026-02-11,O. Mthembu,WH-A Sandton
GRN-2025-00085,PO-2025-00091,SUP-0004,2025-11-20,E. du Plessis,WH-B Wadeville
GRN-2026-00086,PO-2026-00092,SUP-0010,2026-03-30,H. Ngobeni,WH-B Wadeville
GRN-2026-00087,PO-2026-00093,SUP-0037,2026-06-22,H. Ngobeni,WH-A Sandton
GRN-2026-00088,PO-2026-00094,SUP-0044,2026-02-09,O. Mthembu,WH-B Wadeville
GRN-2026-00089,PO-2026-00095,SUP-0026,2026-06-24,E. du Plessis,WH-A Sandton
GRN-2026-00090,PO-2026-00096,SUP-0015,2026-03-16,Z. Jacobs,WH-B Wadeville
GRN-2026-00091,PO-2026-00097,SUP-0030,2026-06-16,Z. Jacobs,WH-A Sandton
GRN-2026-00092,PO-2026-00098,SUP-0033,2026-02-16,H. Ngobeni,WH-B Wadeville
GRN-2026-00093,PO-2026-00099,SUP-0003,2026-02-17,E. du Plessis,WH-A Sandton
GRN-2025-00094,PO-2025-00100,SUP-0040,2025-12-10,Z. Jacobs,WH-A Sandton
GRN-2026-00095,PO-2025-00101,SUP-0027,2026-01-01,H. Ngobeni,WH-A Sandton
GRN-2026-00096,PO-2026-00102,SUP-0034,2026-03-16,E. du Plessis,WH-B Wadeville
GRN-2026-00097,PO-2026-00103,SUP-0032,2026-07-06,W. Mabaso,WH-B Wadeville
GRN-2026-00098,PO-2026-00104,SUP-0012,2026-01-27,H. Ngobeni,WH-B Wadeville
GRN-2026-00099,PO-2026-00105,SUP-0034,2026-09-08,E. du Plessis,WH-B Wadeville
GRN-2026-00100,PO-2026-00106,SUP-0032,2026-05-11,O. Mthembu,WH-B Wadeville
GRN-2026-00101,PO-2026-00107,SUP-0036,2026-02-18,Z. Jacobs,WH-B Wadeville
GRN-2026-00102,PO-2026-00108,SUP-0032,2026-02-10,Z. Jacobs,WH-B Wadeville
GRN-2025-00103,PO-2025-00109,SUP-0007,2025-12-16,W. Mabaso,WH-B Wadeville
GRN-2026-00104,PO-2026-00110,SUP-0005,2026-06-08,E. du Plessis,WH-A Sandton
GRN-2026-00105,PO-2026-00111,SUP-0012,2026-08-31,H. Ngobeni,WH-B Wadeville
GRN-2025-00106,PO-2025-00112,SUP-0003,2025-11-13,Z. Jacobs,WH-B Wadeville
GRN-2026-00107,PO-2026-00113,SUP-0016,2026-05-28,Z. Jacobs,WH-B Wadeville
GRN-2026-00108,PO-2026-00114,SUP-0029,2026-07-20,W. Mabaso,WH-B Wadeville
GRN-2026-00109,PO-2026-00115,SUP-0041,2026-01-19,O. Mthembu,WH-B Wadeville
GRN-2026-00110,PO-2026-00116,SUP-0035,2026-07-27,E. du Plessis,WH-B Wadeville
GRN-2026-00111,PO-2025-00117,SUP-0042,2026-01-07,O. Mthembu,WH-B Wadeville
GRN-2026-00112,PO-2026-00118,SUP-0040,2026-07-20,W. Mabaso,WH-A Sandton
GRN-2026-00113,PO-2025-00119,SUP-0043,2026-01-05,W. Mabaso,WH-A Sandton
GRN-2025-00114,PO-2025-00120,SUP-0003,2025-10-14,E. du Plessis,WH-A Sandton
GRN-2026-00115,PO-2026-00121,SUP-0023,2026-05-22,W. Mabaso,WH-A Sandton
GRN-2026-00116,PO-2026-00122,SUP-0005,2026-07-17,O. Mthembu,WH-B Wadeville
GRN-2026-00117,PO-2026-00123,SUP-0001,2026-05-27,H. Ngobeni,WH-B Wadeville
GRN-2026-00118,PO-2026-00124,SUP-0008,2026-03-16,Z. Jacobs,WH-B Wadeville
GRN-2026-00119,PO-2026-00125,SUP-0038,2026-07-14,W. Mabaso,WH-B Wadeville
GRN-2026-00120,PO-2026-00127,SUP-0035,2026-08-26,O. Mthembu,WH-A Sandton
GRN-2026-00121,PO-2026-00128,SUP-0023,2026-04-27,E. du Plessis,WH-A Sandton
GRN-2026-00122,PO-2026-00130,SUP-0007,2026-03-02,W. Mabaso,WH-B Wadeville
GRN-2025-00123,PO-2025-00131,SUP-0009,2025-10-20,E. du Plessis,WH-A Sandton
GRN-2026-00124,PO-2026-00132,SUP-0018,2026-03-24,Z. Jacobs,WH-A Sandton
GRN-2026-00125,PO-2026-00133,SUP-0043,2026-04-29,O. Mthembu,WH-B Wadeville
GRN-2026-00126,PO-2026-00134,SUP-0007,2026-07-13,W. Mabaso,WH-A Sandton
GRN-2026-00127,PO-2026-00135,SUP-0028,2026-08-03,H. Ngobeni,WH-A Sandton
GRN-2026-00128,PO-2026-00137,SUP-0008,2026-03-02,Z. Jacobs,WH-B Wadeville
GRN-2026-00129,PO-2026-00138,SUP-0018,2026-06-26,O. Mthembu,WH-A Sandton
GRN-2026-00130,PO-2025-00139,SUP-0038,2026-01-15,E. du Plessis,WH-B Wadeville
GRN-2026-00131,PO-2026-00140,SUP-0043,2026-03-31,H. Ngobeni,WH-B Wadeville
GRN-2026-00132,PO-2026-00141,SUP-0031,2026-05-25,H. Ngobeni,WH-B Wadeville
GRN-2025-00133,PO-2025-00142,SUP-0034,2025-11-17,H. Ngobeni,WH-B Wadeville
GRN-2026-00134,PO-2026-00143,SUP-0005,2026-09-14,W. Mabaso,WH-A Sandton
GRN-2026-00135,PO-2026-00144,SUP-0007,2026-07-10,E. du Plessis,WH-B Wadeville
GRN-2025-00136,PO-2025-00145,SUP-0032,2025-12-01,O. Mthembu,WH-B Wadeville
GRN-2026-00137,PO-2026-00146,SUP-0008,2026-05-18,Z. Jacobs,WH-A Sandton
GRN-2025-00138,PO-2025-00147,SUP-0013,2025-10-30,Z. Jacobs,WH-A Sandton
GRN-2026-00139,PO-2026-00148,SUP-0028,2026-07-20,W. Mabaso,WH-B Wadeville
