grn_number,po_number,line_no,item_code,qty_received
GRN-2026-00001,PO-2026-00002,1,INS-PRS16,50
GRN-2026-00002,PO-2026-00003,1,INS-PRS16,1
GRN-2026-00002,PO-2026-00003,2,INS-TMP01,2
GRN-2025-00003,PO-2025-00004,1,HDW-PDL50,4
GRN-2025-00003,PO-2025-00004,2,HDW-CST100,6
GRN-2026-00004,PO-2026-00005,1,STL-PL6MS,1
GRN-2026-00004,PO-2026-00005,2,STL-ANG40,2
GRN-2026-00004,PO-2026-00005,3,STL-SQ50,2
GRN-2026-00005,PO-2026-00006,1,PLA-PER06,1
GRN-2026-00005,PO-2026-00006,2,PLA-HDPE10,50
GRN-2026-00006,PO-2025-00007,1,PNU-CMP75,12
GRN-2026-00006,PO-2025-00007,2,PNU-CYL63,1
GRN-2026-00006,PO-2025-00007,3,PNU-FRL12,6
GRN-2026-00007,PO-2026-00008,1,SEL-GSK150,1
GRN-2026-00007,PO-2026-00008,2,SEL-OIL45,1
GRN-2026-00007,PO-2026-00008,3,SEL-ORK01,10
GRN-2025-00008,PO-2025-00009,1,WLD-HLM01,18
GRN-2025-00008,PO-2025-00009,2,WLD-MIG08,1
GRN-2025-00008,PO-2025-00009,3,WLD-E6013,8
GRN-2026-00009,PO-2026-00010,1,INS-PRS16,3
GRN-2026-00009,PO-2026-00010,2,INS-TMP01,4
GRN-2026-00010,PO-2026-00011,1,FST-M12X60,1
GRN-2026-00010,PO-2026-00011,2,FST-ANC12,2
GRN-2026-00011,PO-2026-00012,1,STL-PL6MS,5
GRN-2025-00012,PO-2025-00013,1,ELE-BAT100,3
GRN-2025-00012,PO-2025-00013,2,ELE-CB63,1
GRN-2025-00012,PO-2025-00013,3,ELE-CON40,5
GRN-2026-00013,PO-2026-00014,1,DRV-SPB2120,50
GRN-2025-00014,PO-2025-00015,1,PLA-HDPE10,25
GRN-2026-00015,PO-2026-00016,1,STL-PL6MS,6
GRN-2026-00015,PO-2026-00016,2,STL-ANG40,1
GRN-2025-00016,PO-2025-00017,1,TLS-TRQ34,2
GRN-2026-00017,PO-2026-00018,1,REF-CMP15,25
GRN-2026-00017,PO-2026-00018,2,REF-GAS404,3
GRN-2025-00018,PO-2025-00019,1,PPE-BOOT8,5
GRN-2025-00019,PO-2025-00020,1,FST-ANC12,1
GRN-2026-00020,PO-2026-00021,1,STL-RD304,5
GRN-2026-00020,PO-2026-00021,2,STL-ANG40,5
GRN-2026-00020,PO-2026-00021,3,STL-SQ50,6
GRN-2026-00021,PO-2026-00022,1,SEL-OIL45,8
GRN-2025-00022,PO-2025-00023,1,PLA-HDPE10,8
GRN-2026-00023,PO-2026-00024,1,WLD-MIG08,3
GRN-2026-00023,PO-2026-00024,2,WLD-HLM01,1
GRN-2026-00023,PO-2026-00024,3,WLD-E6013,4
GRN-2026-00024,PO-2026-00025,1,PIP-GAL50,8
GRN-2026-00025,PO-2026-00026,1,PPE-BOOT8,12
GRN-2026-00025,PO-2026-00026,2,PPE-GLV10,25
GRN-2026-00026,PO-2026-00027,1,STL-ANG40,12
GRN-2026-00026,PO-2026-00027,2,STL-SQ50,1
GRN-2026-00026,PO-2026-00027,3,STL-PL6MS,25
GRN-2025-00027,PO-2025-00028,1,INS-TMP01,3
GRN-2025-00028,PO-2025-00029,1,SEL-ORK01,20
GRN-2026-00029,PO-2026-00030,1,SEL-ORK01,2
GRN-2026-00029,PO-2026-00030,2,SEL-OIL45,1
GRN-2026-00030,PO-2026-00031,1,INS-TMP01,2
GRN-2025-00031,PO-2025-00032,1,LUB-EP220,5
GRN-2026-00032,PO-2026-00033,1,BRG-22216,25
GRN-2026-00032,PO-2026-00033,2,DRV-SPB2120,1
GRN-2025-00033,PO-2025-00034,1,MHD-FRK25,3
GRN-2026-00034,PO-2026-00035,1,TLS-DRL18,2
GRN-2026-00034,PO-2026-00035,2,TLS-GRN230,2
GRN-2026-00034,PO-2026-00035,3,TLS-TRQ34,2
GRN-2026-00035,PO-2026-00036,1,HYD-FIT12,1
GRN-2025-00036,PO-2025-00037,1,PPE-BOOT8,8
GRN-2025-00036,PO-2025-00037,2,PPE-GLV10,1
GRN-2026-00037,PO-2025-00038,1,REF-GAS404,2
GRN-2025-00038,PO-2025-00039,1,HYD-FIT12,2
GRN-2025-00038,PO-2025-00039,2,HYD-2SN12,10
GRN-2025-00038,PO-2025-00039,3,HYD-CYL80,12
GRN-2025-00038,PO-2025-00039,4,HYD-PMP45,4
GRN-2026-00039,PO-2026-00040,1,BRG-22216,1
GRN-2026-00039,PO-2026-00040,2,DRV-SPB2120,6
GRN-2026-00039,PO-2026-00040,3,BRG-6205,3
GRN-2026-00039,PO-2026-00040,4,DRV-TL2517,1
GRN-2026-00040,PO-2026-00041,1,PIP-GAL50,8
GRN-2026-00040,PO-2026-00041,2,PIP-FLG80,2
GRN-2025-00041,PO-2025-00043,1,HYD-2SN12,50
GRN-2025-00041,PO-2025-00043,2,HYD-CYL80,2
GRN-2025-00041,PO-2025-00043,3,HYD-FIT12,6
GRN-2025-00041,PO-2025-00043,4,HYD-PMP45,2
GRN-2026-00042,PO-2026-00044,1,REF-CMP15,5
GRN-2026-00042,PO-2026-00044,2,REF-GAS404,1
GRN-2026-00043,PO-2026-00045,1,STL-PL6MS,3
GRN-2026-00043,PO-2026-00045,2,STL-RD304,3
GRN-2026-00043,PO-2026-00045,3,STL-SQ50,2
GRN-2026-00044,PO-2026-00046,1,HYD-CYL80,10
GRN-2026-00044,PO-2026-00046,2,HYD-2SN12,2
GRN-2025-00045,PO-2025-00047,1,STL-SQ50,3
GRN-2025-00045,PO-2025-00047,2,STL-ANG40,6
GRN-2025-00045,PO-2025-00047,3,STL-PL6MS,8
GRN-2025-00045,PO-2025-00047,4,STL-RD304,31
GRN-2026-00046,PO-2026-00048,1,SEL-OIL45,4
GRN-2026-00046,PO-2026-00048,2,SEL-GSK150,5
GRN-2026-00046,PO-2026-00048,3,SEL-ORK01,8
GRN-2026-00047,PO-2026-00049,1,HDW-PDL50,1
GRN-2026-00047,PO-2026-00049,2,HDW-CST100,1
GRN-2026-00048,PO-2025-00051,1,FST-NUTM12,4
GRN-2026-00048,PO-2025-00051,2,FST-ANC12,1
GRN-2026-00048,PO-2025-00051,3,FST-M12X60,2
GRN-2026-00049,PO-2026-00052,1,ELE-CB63,10
GRN-2026-00049,PO-2026-00052,2,ELE-CON40,44
GRN-2026-00050,PO-2026-00053,1,PIP-FLG80,1
GRN-2025-00051,PO-2025-00054,1,STL-SQ50,2
GRN-2025-00051,PO-2025-00054,2,STL-PL6MS,10
GRN-2025-00051,PO-2025-00054,3,STL-RD304,2
GRN-2025-00051,PO-2025-00054,4,STL-ANG40,1
GRN-2026-00052,PO-2026-00055,1,INS-PRS16,2
GRN-2026-00052,PO-2026-00055,2,INS-TMP01,12
GRN-2025-00053,PO-2025-00056,1,TLS-TRQ34,10
GRN-2025-00053,PO-2025-00056,2,TLS-DRL18,25
GRN-2025-00053,PO-2025-00056,3,TLS-GRN230,1
GRN-2026-00054,PO-2026-00057,1,PIP-GAL50,4
GRN-2026-00054,PO-2026-00057,2,PIP-FLG80,2
