invoice_id,pdf_file,invoice_number,supplier_id,supplier_name,supplier_vat_number,po_number,invoice_date,due_date,bank_name,branch_code,account_number,subtotal_ex_vat,vat_amount,total_incl_vat,line_count,layout,is_scan,omitted_particulars,seeded_exceptions
INV-00001,INV-00001.pdf,INV2502691,SUP-0024,Randburg Instrumentation (Pty) Ltd,4476453990,PO-2025-00276,2025-12-15,2026-01-14,Investec,580105,76652374914,39058.86,5898.6,44957.46,1,B,0,,E05_VAT_ERROR
INV-00002,INV-00002.pdf,004577,SUP-0043,New Centre Gas and Gear (Pty) Ltd,4763833892,PO-2026-00252,2026-08-03,2026-09-02,Investec,580105,1829516973,4151.9,622.79,4774.69,1,A,0,,
INV-00003,INV-00003.pdf,INV2666625,SUP-0025,Sasolburg Pipe and Fittings (Pty) Ltd,4728868642,,2026-05-20,2026-06-19,Standard Bank,051001,68910965089,42200.83,6330.12,48530.95,1,A,0,,E04_NO_PO|E10_THRESHOLD_SPLIT
INV-00004,INV-00004.pdf,TI2508720,SUP-0020,Krugersdorp Chain and Sprocket (Pty) Ltd,4945218640,PO-2025-00155,2025-11-28,2026-01-27,Capitec Business,470010,1887809026,15823.9,2373.59,18197.49,2,A,0,tax_invoice_wording,E11_INVALID_TAX_INVOICE
INV-00005,INV-00005.pdf,INV2561762,SUP-0043,New Centre Gas and Gear (Pty) Ltd,4763833892,PO-2026-95459,2025-10-08,2025-11-07,Investec,580105,1829516973,2226.62,333.99,2560.61,2,A,0,,E04_NO_PO
INV-00006,INV-00006.pdf,TI2504963,SUP-0013,Isando Welding Supplies (Pty) Ltd,4590357816,PO-2025-00278,2025-11-13,2025-12-28,Nedbank,198765,92730777461,1793.43,269.01,2062.44,2,A,1,,
INV-00007,INV-00007.pdf,008410,SUP-0032,Linbro Park Hardware (Pty) Ltd,4376480389,PO-2026-00500,2026-03-13,2026-05-12,Investec,580105,0685325346,5040.4,756.06,5796.46,1,D,0,,
INV-00008,INV-00008.pdf,SI2606751,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,4587048565,PO-2026-00475,2026-08-13,2026-10-12,Nedbank,198765,2101929685,273633.5,41045.03,314678.53,2,A,1,,
INV-00009,INV-00009.pdf,004269-R,SUP-0023,Modderfontein Chemicals (Pty) Ltd,4286297325,PO-2025-00199,2026-01-21,2026-02-13,Standard Bank,051001,9128660241,8136.06,1220.41,9356.47,1,B,0,,E03_DUPLICATE
INV-00010,INV-00010.pdf,SI2608413,SUP-0032,Linbro Park Hardware (Pty) Ltd,4376480389,PO-2026-00103,2026-07-13,2026-09-11,Investec,580105,0685325346,5057.82,758.67,5816.49,2,D,0,,
INV-00011,INV-00011.pdf,002686,SUP-0024,Randburg Instrumentation (Pty) Ltd,4476453990,PO-2026-00471,2026-03-09,2026-04-08,Investec,580105,76652374914,26809.86,4021.48,30831.34,1,D,0,,
INV-00012,INV-00012.pdf,INV2604173,SUP-0018,Springs Gearbox Services (Pty) Ltd,4292138514,PO-2026-00437,2026-03-31,2026-04-30,Standard Bank,051001,87770767045,10559.25,1583.89,12143.14,1,C,0,,
INV-00013,INV-00013.pdf,INV2605740,SUP-0033,Aeroton Castors (Pty) Ltd,4398129039,PO-2026-00327,2026-06-22,2026-08-06,Standard Bank,051001,737734820,305.62,45.84,351.46,1,B,1,,
INV-00014,INV-00014.pdf,SI2604998,SUP-0010,Germiston Tool Hire (Pty) Ltd,4336812635,PO-2026-00493,2026-02-23,2026-03-25,Standard Bank,051001,320010260,58831.9,8824.79,67656.69,3,A,0,,E01_PRICE_VARIANCE
INV-00015,INV-00015.pdf,004279,SUP-0023,Modderfontein Chemicals (Pty) Ltd,4286297325,PO-2025-00302,2025-12-11,2026-01-10,Standard Bank,051001,9128660241,45229.9,6784.49,52014.39,2,A,0,,
INV-00016,INV-00016.pdf,002757,SUP-0044,Village Main Instruments (Pty) Ltd,4043496765,PO-2026-00338,2026-02-24,2026-03-26,Absa Bank,632005,696049115,27888.5,4183.28,32071.78,1,A,0,,
INV-00017,INV-00017.pdf,003014,SUP-0001,Midrand Bearing Supplies (Pty) Ltd,4310265355,PO-2026-00072,2026-05-01,2026-06-30,First National Bank,250655,9308836478,5217.1,782.57,5999.67,1,C,0,,
INV-00018,INV-00018.pdf,INV2508730,SUP-0015,Alberton Seal and Gasket (Pty) Ltd,4766946128,PO-2025-00505,2025-11-07,2025-12-07,First National Bank,250655,76774682715,3524.84,528.73,4053.57,3,A,0,,
INV-00019,INV-00019.pdf,INV2508157,SUP-0003,Protea Hydraulics (Pty) Ltd,4709743620,PO-2025-00486,2025-12-22,2026-01-21,Investec,580105,783262215,17022.66,2553.4,19576.06,1,B,0,,
INV-00020,INV-00020.pdf,INV2623514,SUP-0017,Roodepoort Motor Rewinds (Pty) Ltd,4443768103,,2026-06-17,2026-07-17,Investec,580105,04168918377,55748.86,8362.33,64111.19,2,D,0,,E04_NO_PO
INV-00021,INV-00021.pdf,TI2605736,SUP-0033,Aeroton Castors (Pty) Ltd,4398129039,PO-2025-00337,2026-01-14,2026-02-28,Standard Bank,051001,737734820,3153.25,472.99,3626.24,2,A,0,,
INV-00022,INV-00022.pdf,TI2602767,SUP-0044,Village Main Instruments (Pty) Ltd,4043496765,PO-2026-00453,2026-06-03,2026-07-03,Absa Bank,632005,696049115,58544.9,8781.74,67326.64,1,A,0,,
INV-00023,INV-00023.pdf,TI2607528,SUP-0016,Benoni Industrial Paints (Pty) Ltd,4688431792,PO-2026-00378,2026-08-31,2026-09-30,Capitec Business,470010,6520186947,31242.68,4686.4,35929.08,2,C,1,,E08_ARITHMETIC
INV-00024,INV-00024.pdf,INV2563626,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,4587048565,PO-2025-00063,2025-11-26,2026-01-25,Nedbank,198765,2101929685,14581.46,2187.22,16768.68,1,A,0,,E12_GOODS_NOT_RECEIVED
