po_number,line_no,item_code,description,qty_ordered,unit_price_ex_vat,line_total_ex_vat
PO-2026-00001,1,INS-TMP01,PT100 temperature probe with head,12,1962.54,23550.48
PO-2026-00002,1,INS-PRS16,Pressure transmitter 0 to 16 bar 4 to 20mA,50,4771.91,238595.5
PO-2026-00003,1,INS-PRS16,Pressure transmitter 0 to 16 bar 4 to 20mA,1,4278.15,4278.15
PO-2026-00003,2,INS-TMP01,PT100 temperature probe with head,2,2174.57,4349.14
PO-2025-00004,1,HDW-PDL50,Brass padlock 50mm keyed alike,4,261.29,1045.16
PO-2025-00004,2,HDW-CST100,Swivel castor 100mm braked,6,374.64,2247.84
PO-2026-00005,1,STL-PL6MS,Mild steel plate 6mm 1000 x 2000,1,2221.95,2221.95
PO-2026-00005,2,STL-ANG40,Equal angle 40 x 40 x 5mm 6m,2,847.96,1695.92
PO-2026-00005,3,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,3,890.37,2671.11
PO-2026-00006,1,PLA-PER06,Perspex sheet 6mm 1000 x 2000,1,2297.1,2297.1
PO-2026-00006,2,PLA-HDPE10,HDPE sheet 10mm 1000 x 2000,50,3611.59,180579.5
PO-2025-00007,1,PNU-CMP75,Screw compressor service kit 7.5kW,12,7818.94,93827.28
PO-2025-00007,2,PNU-CYL63,Pneumatic cylinder 63 bore 200 stroke,1,1805.98,1805.98
PO-2025-00007,3,PNU-FRL12,Filter regulator lubricator 1/2 inch,6,2092.56,12555.36
PO-2026-00008,1,SEL-GSK150,Full face gasket 150mm rubber insertion,1,267.79,267.79
PO-2026-00008,2,SEL-OIL45,Oil seal 45 x 65 x 10 nitrile,1,78.36,78.36
PO-2026-00008,3,SEL-ORK01,O ring kit nitrile 382 piece,10,930.29,9302.9
PO-2025-00009,1,WLD-HLM01,Auto darkening welding helmet,25,1959.99,48999.75
PO-2025-00009,2,WLD-MIG08,MIG wire 0.8mm 15kg spool,1,1220.39,1220.39
PO-2025-00009,3,WLD-E6013,Welding electrode E6013 3.2mm 5kg,8,468.8,3750.4
PO-2026-00010,1,INS-PRS16,Pressure transmitter 0 to 16 bar 4 to 20mA,3,6348.28,19044.84
PO-2026-00010,2,INS-TMP01,PT100 temperature probe with head,4,2064.22,8256.88
PO-2026-00011,1,FST-M12X60,Hex bolt M12 x 60 grade 8.8 box of 100,1,881.51,881.51
PO-2026-00011,2,FST-ANC12,Chemical anchor stud M12 x 160,2,73.5,147.0
PO-2026-00012,1,STL-PL6MS,Mild steel plate 6mm 1000 x 2000,5,3253.67,16268.35
PO-2025-00013,1,ELE-BAT100,Deep cycle battery 100Ah,3,3550.55,10651.65
PO-2025-00013,2,ELE-CB63,Circuit breaker 63A triple pole,1,918.09,918.09
PO-2025-00013,3,ELE-CON40,Contactor 40A 230V coil,5,1606.55,8032.75
