code,planted,found,hit,missed,extra,recall,precision,name
E01_PRICE_VARIANCE,18,16,16,2,0,88.9,100.0,Price above the order
E02_QTY_OVER_BILLED,16,12,12,4,0,75.0,100.0,Quantity over billed
E03_DUPLICATE,11,6,5,6,1,45.5,83.3,Duplicate invoice
E04_NO_PO,25,23,23,2,0,92.0,100.0,No valid purchase order
E05_VAT_ERROR,14,12,12,2,0,85.7,100.0,VAT incorrectly calculated
E06_BANK_CHANGE,9,32,8,1,24,88.9,25.0,Bank details changed
E07_UNAPPROVED_SUPPLIER,9,11,8,1,3,88.9,72.7,Supplier not approved
E08_ARITHMETIC,11,58,8,3,50,72.7,13.8,Invoice does not add up
E09_DATE_ANOMALY,10,6,6,4,0,60.0,100.0,Invoice date out of sequence
E10_THRESHOLD_SPLIT,4,4,4,0,0,100.0,100.0,Split to avoid approval
E11_INVALID_TAX_INVOICE,13,45,9,4,36,69.2,20.0,Not a valid tax invoice
E12_GOODS_NOT_RECEIVED,8,8,8,0,0,100.0,100.0,No goods received note
