invoice_id,pdf_file,invoice_number,supplier_name,supplier_id,po_number,invoice_date,due_date,subtotal_ex_vat,vat_amount,total_incl_vat,processing_status,extraction_method,extraction_confidence,exceptions_raised,value_at_risk,net_exposure
INV-00166,INV-00166.pdf,006008,Nigel Compressor Services (Pty) Ltd,SUP-0022,PO-2026-00225,2026-05-21,2026-07-20,245642.95,36846.44,282489.39,exception,rules_fallback,0.72,1,282489.39,282489.39
INV-00122,INV-00122.pdf,INV2688162,Tshwane Pneumatics (Pty) Ltd,SUP-0012,PO-2026-00042,2026-06-04,2026-07-19,206291.5,30943.73,237235.23,exception,rules_fallback,0.72,1,237235.23,237235.23
INV-00096,INV-00096.pdf,INV2635829,Witbank Belting (Pty) Ltd,SUP-0021,,2026-07-19,2026-07-19,69544.86,10431.73,79976.59,exception,rules_fallback,0.72,3,170384.91,79976.59
INV-00218,INV-00218.pdf,SI2605844,Roodepoort Motor Rewinds (Pty) Ltd,SUP-0017,PO-2025-00367,2026-01-09,2026-02-23,75963.36,11394.5,75963.36,exception,rules_fallback,0.72,3,163321.22,75963.36
INV-00152,INV-00152.pdf,TI2605846,Roodepoort Motor Rewinds (Pty) Ltd,SUP-0017,PO-2026-00070,2026-04-23,2026-04-23,96488.3,14473.25,110961.55,exception,rules_fallback,0.72,3,139464.32,139464.32
INV-00020,INV-00020.pdf,INV2623514,Roodepoort Motor Rewinds (Pty) Ltd,SUP-0017,,2026-07-17,2026-07-17,55748.86,8362.33,64111.19,exception,rules_fallback,0.72,3,136584.71,64111.19
INV-00179,INV-00179.pdf,INV2679092,Robertsham Glass and Perspex (Pty) Ltd,SUP-0039,PO-2026-00069,2026-07-16,2026-08-15,113187.91,16978.19,130166.1,exception,rules_fallback,0.72,1,130166.1,130166.1
INV-00223,INV-00223.pdf,INV2508005,Highveld Lubricants (Pty) Ltd Invoice No. INV2508005,,PO-2025-00315,2025-11-21,2026-01-05,96423.93,14463.59,110887.52,exception,rules_fallback,0.72,2,125351.11,110887.52
INV-00141,INV-00141.pdf,006010,Nigel Compressor Services (Pty) Ltd,SUP-0022,PO-2025-00007,2025-12-10,2026-01-09,108188.62,16228.29,124416.91,exception,rules_fallback,0.72,2,124416.91,124416.91
INV-00176,INV-00176.pdf,SI2506002,Nigel Compressor Services (Pty) Ltd,SUP-0022,PO-2025-00283,2025-12-18,2026-02-16,89533.09,13429.96,102963.05,exception,rules_fallback,0.72,1,102963.05,102963.05
INV-00106,INV-00106.pdf,INV2649613,Sasolburg Pipe and Fittings (Pty) Ltd,SUP-0025,,2026-05-18,2026-06-17,42724.99,6408.75,49133.74,exception,rules_fallback,0.72,2,98267.48,49133.74
INV-00136,INV-00136.pdf,INV2667882,Sasolburg Pipe and Fittings (Pty) Ltd,SUP-0025,,2026-05-11,2026-06-10,42689.55,6403.43,49092.98,exception,rules_fallback,0.72,2,98185.96,49092.98
INV-00003,INV-00003.pdf,INV2666625,Sasolburg Pipe and Fittings (Pty) Ltd,SUP-0025,,2026-05-20,2026-06-19,42200.83,6330.12,48530.95,exception,rules_fallback,0.72,2,97061.9,48530.95
INV-00126,INV-00126.pdf,INV2694939,Sasolburg Pipe and Fittings (Pty) Ltd,SUP-0025,,2026-05-14,2026-06-13,41971.04,6295.66,48266.7,exception,rules_fallback,0.72,2,96533.4,48266.7
INV-00039,INV-00039.pdf,SI2605844,Roodepoort Motor Rewinds (Pty) Ltd,SUP-0017,PO-2025-00367,2026-01-09,2026-02-23,75963.36,11394.5,87357.86,exception,rules_fallback,0.72,1,87357.86,87357.86
INV-00175,INV-00175.pdf,INV2629388,Crown Mines Motor Spares (Pty) Ltd,SUP-0042,PO-2026-96727,2026-10-15,2026-10-15,60878.68,9131.8,70010.48,exception,rules_fallback,0.72,2,79142.28,70010.48
INV-00222,INV-00222.pdf,TI2606501,Denver Crane Services (Pty) Ltd,SUP-0037,PO-2026-00150,2026-05-22,2026-05-22,522472.66,78370.9,600843.56,exception,rules_fallback,0.72,1,78370.9,78370.9
INV-00146,INV-00146.pdf,INV2508001,Highveld Lubricants (Pty) Ltd,SUP-0006,PO-2025-00032,2025-11-10,2025-12-25,66064.45,9909.67,75974.12,exception,rules_fallback,0.72,1,75974.12,75974.12
INV-00189,INV-00189.pdf,INV2699704,Witbank Belting (Pty) Ltd,SUP-0021,,2026-09-25,2026-10-25,34176.99,5126.55,34176.99,exception,rules_fallback,0.72,3,73480.53,34176.99
INV-00113,INV-00113.pdf,005520A,Brakpan Sheet Metal (Pty) Ltd,SUP-0026,PO-2025-00344,2025-12-12,2026-01-04,45991.57,6898.74,52890.31,exception,rules_fallback,0.72,1,52890.31,52890.31
INV-00199,INV-00199.pdf,TI2605898,Wadeville Hose and Coupling (Pty) Ltd,SUP-0028,PO-2026-00253,2026-09-25,2026-09-25,100445.93,15066.89,115512.82,exception,rules_fallback,0.72,2,52203.05,52203.05
