month,invoices,invoiced,exceptions_raised,net_exposure
2025-10,11,310019.93,12,56877.69
2025-11,22,1196398.48,22,303918.2
2025-12,29,1051415.35,25,456076.79000000004
2026-01,22,579863.6,20,288154.0
2026-02,12,874479.1,10,84494.75
2026-03,18,761697.22,12,65177.93
2026-04,17,1027168.98,14,225130.56
2026-05,32,1720442.71,41,721620.86
2026-06,21,840399.39,19,374607.92
2026-07,19,912959.88,23,394011.75
2026-08,22,313098.36,16,99799.40000000001
2026-09,10,348700.36,10,109629.65
2026-10,6,371827.11,7,109377.86
2026-11,1,264318.94,1,34476.38
